CONFIRMED	deleted-product	src/core/execution/command_environment.zig:16	Environment.workspace_clean union variant	workspace_clean environment is never constructed or parsed in any production path
CONFIRMED	deleted-product	src/core/execution/command_environment.zig:136	Host.workspace_clean enum variant	workspace_clean host is never set on any production tools spec
CONFIRMED	deleted-product	src/core/execution/command_environment.zig:116	formatApprovalCommand workspace_clean arm	workspace_clean arm is dead code as the environment variant is never produced in production
CONFIRMED	deleted-product	src/core/execution/command_runner.zig:626	executeCommandInEnvironment workspace_clean arm	workspace_clean arm is dead code as the environment variant is never produced in production
CONFIRMED	deleted-product	src/core/execution/managed_execution.zig:1425	dupeEnvironment workspace_clean arm	workspace_clean arm is dead code as the environment variant is never produced in production
REFUTED	deleted-product	src/main.zig:58	agent_retry_count constant always zero	constant is referenced in 15+ production callers in main.zig (e.g. lines 1698, 1774, 3374)
REFUTED	always-was	src/core/subagent/agent_adapter.zig:375	pushLiveToolLifecycle deps override	pushLiveToolLifecycle is referenced by .push_tool_lifecycle in agent_adapter.zig runtimeDeps (line 375) and ca
TESTED-ONLY	always-was	src/core/workspace/context_contract.zig:371	Fragment enum	Fragment and its usages are only referenced inside test blocks (line 601 onward in context_contract.zig)
REFUTED	always-was	src/core/app/app_terminal_runtime.zig:19	ExitPreparation.deferred variant	ExitPreparation.deferred is referenced as an enum variant and handled in a switch statement inside production 
REFUTED	deleted-product	src/core/gateway/model_catalog.zig:280	released field	released field is used in model catalog sorting via compareModelCatalogEntries (line 370) and referenced in sl
TESTED-ONLY	always-was	src/core/subagent/model_contract.zig:109	model_contract.Phase enum	model_contract.Phase is only used in model_contract.plan, which is only called in unit tests (lines 202, 211, 
CONFIRMED	always-was	src/builtins/commands.zig:314	matchesTopLevel wrapper	matchesTopLevel in commands.zig (line 314) has no callers; all callers use command_specs.matchesTopLevel direc
REFUTED	always-was	src/core/mcp/features/tools.zig:202	duplicate ProtocolError struct	ProtocolError in tools.zig (line 202) is a live struct referenced as tools_feature.ProtocolError in tool_resul
REFUTED	always-was	src/core/input/composer_history.zig:15	ImageBlocks alias	ImageBlocks is a live type alias used for ActiveComposer.images in composer_history.zig:37 and throughout its 
REFUTED	always-was	src/ui/assistant/pacer.zig:146	pause no-op method and unused now_ns	pacer.pause has a live production caller in src/main.zig:2726
REFUTED	deleted-product	src/core/auth/auth_runtime.zig:137	Choice.source union variant	Choice.source union variant is a live variant handled inside several production functions in auth_runtime.zig 
CONFIRMED	always-was	src/core/app/app_auth_runtime.zig:9	unused provider_catalog import	provider_catalog import in app_auth_runtime.zig:9 is unused and can be safely deleted
TESTED-ONLY	always-was	src/core/terminal/recovery.zig:15	HostEvidence.absent variant	HostEvidence.absent is never referenced in production code; its only uses are in the recovery.zig unit tests (
CONFIRMED	deleted-product	src/main.zig:3223	hasPosixArgVector wasi arm	wasi branch in hasPosixArgVector (src/main.zig:3223) is a dead leftover from removed WASI support and can be s
REFUTED	deleted-product	src/core/gateway/model_catalog.zig:12	View enum	View enum is live and used in model_cache_runtime.zig:581 (.view = .picker) and openai_codex_models.zig:37 (.v
TESTED-ONLY	always-was	src/core/permissions/auto_classifier.zig:331	ProviderInput.endpoint field	ProviderInput.endpoint is never set or read in production code; its only references are in the auto_classifier
TESTED-ONLY	always-was	src/core/mcp/elicitation.zig:156	RequestState.consumed variant	RequestState.consumed is never used in production code; its only uses are in the elicitation.zig unit tests (l
CONFIRMED	deleted-product	src/core/app/app_commands.zig:8	unused gateway_provider import	gateway_provider import in app_commands.zig:8 is unused and can be safely deleted
REFUTED	deleted-product	src/core/upgrade/update_target.zig:26	Target union only stable variant remains	Target union is live and heavily referenced in upgrade_runtime.zig (lines 16, 392), upgrade_helpers.zig (line 
CONFIRMED	always-was	src/core/auth/auth_runtime.zig:69	FailureSnapshot.renderJson method	no callers of FailureSnapshot.renderJson exist in the codebase
REFUTED	deleted-product	src/core/upgrade/update_target.zig:68	Target.revision always returns null	called by upgrade_runtime.zig:84 in production update flow
CONFIRMED	always-was	src/core/mcp/mcp_auth_store.zig:134	Status enum	mcp_auth_store.status has no callers in the codebase
CONFIRMED	always-was	src/core/permissions/auto_classifier.zig:329	ProviderInput.credential_source field	field is never set or read in production or test code
TESTED-ONLY	always-was	src/core/execution/managed_execution_contract.zig:21	TerminalState enum	only referenced in test "tombstones contain terminal facts without authority"
REFUTED	always-was	src/core/mcp/features/tools.zig:11	duplicate Protocol and CacheScope enums	used as field types and parameter types in src/core/mcp/features/tools.zig
CONFIRMED	always-was	src/tools/skills/install_skill.zig:96	execute function	function has zero callers in production or test code
CONFIRMED	always-was	src/tools/skills/skill.zig:135	execute function	function has zero callers in production or test code
REFUTED	always-was	src/core/notifications/sound.zig:116	Platform.linux variant	referenced in production sound.zig:136 compile-time check
REFUTED	deleted-product	src/core/mcp/elicitation.zig:119	Scope single-variant union wrapper	referenced as field type in elicitation.zig:131 and used in mcp_runtime.zig:2244
CONFIRMED	always-was	src/core/permissions/auto_classifier.zig:361	Reviewer.disabled	function has zero callers in production or test code
REFUTED	always-was	src/core/slash_commands/command_specs.zig:100	TopLevelRegistry.resources field	referenced in commands.zig:312 and command_specs.zig:313
REFUTED	always-was	src/builtins/tools.zig:872	lookup wrapper re-export	called in toolRequiresApproval in tools.zig:886 and modes.zig:60
TESTED-ONLY	always-was	src/builtins/modes.zig:23	lookup wrapper function	only referenced in test blocks in src/builtins/modes.zig
TESTED-ONLY	always-was	src/core/terminal/recovery.zig:6	RecordEvidence.missing partial corrupt unsupported	only referenced in test "recovery never restarts and isolates invalid durable records"
CONFIRMED	deleted-product	src/core/cli/cli_surface.zig:581	activateProviderSelection target parameter	parameter is explicitly discarded with _ = target; in the function body
CONFIRMED	always-was	src/core/auth/credentials.zig:157	resolve function	function has zero callers in production or test code
TESTED-ONLY	deleted-product	src/core/upgrade/update_target.zig:10	Channel.parse has no production callers	only referenced in test blocks in src/core/upgrade/update_target.zig
CONFIRMED	always-was	src/ui/footer/picker_presentation.zig:221	signInProjectedRowIndex snapshot parameter	signInProjectedRowIndex snapshot parameter is discarded and only used as _ = snapshot
CONFIRMED	always-was	src/core/mcp/elicitation.zig:613	FormSchema.title field	FormSchema.title field is never set or used because any schema containing title is rejected on line 720
TESTED-ONLY	always-was	src/core/terminal/host_policy.zig:111	PendingRequests.cancel method	PendingRequests.cancel is only referenced in test blocks within host_policy.zig
REFUTED	deleted-product	src/core/gateway/model_catalog.zig:21	FetchInput.view field	FetchInput.view is written through a struct literal in src/gateway/openai_codex_models.zig:37
TESTED-ONLY	always-was	src/core/subagent/model_contract.zig:108	model_contract.Kind enum	Kind enum is only used by model_contract.Snapshot and inside model_contract.zig test blocks
CONFIRMED	always-was	src/core/hooks/tool.zig:1	unused tool re-export shim module	tool.zig and its re-export in hooks.zig are completely unused in the codebase
TESTED-ONLY	always-was	src/core/subagent/model_contract.zig:110	model_contract.Snapshot struct	Snapshot struct is only used by model_contract.plan and inside model_contract.zig test blocks
TESTED-ONLY	always-was	src/core/input/composer_selection.zig:31	finish method	composer_selection.State.finish is only called in a test block in composer_selection.zig
REFUTED	deleted-product	src/core/auth/auth_runtime.zig:796	provider parameter on selectForProvider	selectForProvider is called in production at src/core/app/app_auth_runtime.zig:25 with provider parameter
CONFIRMED	always-was	src/core/mcp/elicitation.zig:157	RequestState.cancelled variant	RequestState.cancelled is never constructed or used in production or test code
CONFIRMED	always-was	src/core/mcp/elicitation.zig:174	Rejection.cancelled variant	Rejection.cancelled is never returned or checked in production or test code
CONFIRMED	always-was	src/core/subagent/authority.zig:51	HostAuthority.capture wrapper method	HostAuthority.capture is completely unused and has no callers in production or tests
REFUTED	always-was	src/core/app/app_auth_runtime.zig:111	reconcileAfterChatGptLogout @hasDecl else false	reconcileAfterChatGptLogout exists on app.auth in production, so the comptime check compiles and executes it
CONFIRMED	always-was	src/core/app/app_bootstrap_runtime.zig:10	unused credentials import	credentials import is unused in app_bootstrap_runtime.zig
CONFIRMED	always-was	src/core/app/app_auth_runtime.zig:3	unused host import	host import is unused in app_auth_runtime.zig
CONFIRMED	always-was	src/core/app/app_commands.zig:9	unused host import	host import is unused in app_commands.zig
CONFIRMED	always-was	src/core/mcp/elicitation.zig:614	FormSchema.description field	FormSchema.description field is never set or used because any schema containing description is rejected on lin
REFUTED	always-was	src/ui/render_engine/frame_builder.zig:21	FrameBody.none variant	FrameBody.none variant is matched in paintBody switch in src/core/app/app_render_runtime.zig:2152
CONFIRMED	deleted-product	src/ui/footer/picker_presentation.zig:331	composeSignInPickerRow source parameter	parameter is explicitly discarded with _ = source; in the function body
CONFIRMED	deleted-product	src/ui/footer/picker_presentation.zig:222	signInProjectedRowIndex source parameter	parameter is explicitly discarded with _ = source; in the function body
TESTED-ONLY	always-was	src/core/subagent/model_contract.zig:128	plan scheduling fn	only referenced inside test blocks in src/core/subagent/model_contract.zig
CONFIRMED	always-was	src/core/mcp/elicitation.zig:185	decideTransition state parameter	the sole production caller decideLegacyUrlCompletion always passes .pending
CONFIRMED	always-was	src/ui/footer/render_input.zig:638	turnActivityProjection shell parameter	parameter is explicitly discarded with _ = shell; in the function body
CONFIRMED	always-was	src/core/hooks/hooks.zig:5	pub const tool imports dead shim	the imported namespace is never referenced anywhere in the codebase
CONFIRMED	always-was	src/core/mcp/mcp_auth_store.zig:267	fn status	the function is never called or referenced anywhere in the codebase
REFUTED	always-was	src/core/shared/mem_utils.zig:7	free function never called	called via deinitList in src/core/agent/runtime/orchestrator.zig
CONFIRMED	always-was	src/core/mcp/elicitation.zig:781	unreachable root title/description assignment	any non-null title or description returns error.UnsupportedSchema at line 721
CONFIRMED	always-was	src/ui/footer/paint_plan.zig:930	authPickerQueryCursorColumn cursor branch	authPickerQueryCursorColumn always returns null, making the branch dead
CONFIRMED	deleted-product	src/core/cli/cli_surface.zig:571	writeProviderActivationError fiber provider branch	all callers of writeProviderActivationError pass .provider_login as the caller argument
CONFIRMED	deleted-product	src/ui/footer/model_menu_presentation.zig:410	loadedCatalogStatusText state.source read	state.source is explicitly discarded with _ = state.source;
CONFIRMED	always-was	src/ui/footer/compact_command_menu_presentation.zig:195	composeUsageRow totals binding	totals is explicitly discarded with _ = totals;
CONFIRMED	deleted-product	src/core/shared/io.zig:214	wasi branch in openExistingRegularFileWithPolicy	the WASI target is being removed and is never true in production
CONFIRMED	deleted-product	src/core/shared/io.zig:427	wasi emscripten guard in getenvFromBlock	the WASI and Emscripten targets are unsupported/dead in production
CONFIRMED	always-was	src/core/mcp/features/tools.zig:44	Error.InvalidInputRequired variant never returned	the error variant is never returned or referenced in the codebase
TESTED-ONLY	always-was	src/core/mcp/features/resources.zig:38	Error.InvalidInputRequired variant never returned	only referenced inside a test block in src/core/mcp/features/resources.zig
CONFIRMED	always-was	src/core/app/app_bootstrap_runtime.zig:376	if (false) keychain startup notice block	the block is guarded by an explicit if (false) condition
CONFIRMED	always-was	src/core/app/app_bootstrap_runtime.zig:218	refreshChatGptSourceInventory else-if startup branch	@TypeOf(app.auth) is auth_runtime.Self which always has refreshSourceInventory, making this else-if comptime-d
